class_id,class_label
20201B161_0,0
20201B161_1,1
20201B161_2,2
20201B165_0,0
20201B165_1,1
20201B165_2,2
20201B175_0,0
20201B175_1,1
20201B175_2,2
20201B205_0,0
20201B205_1,1
20201B205_2,2
20201B205_3,3
20201B205_4,4
20201B207_0,0
20201B207_1,1
20201B221_0,0
20201B221_1,1
20201B221_2,2
20201B221_3,3
20201B225_0,0
20201B225_1,1
20201B227_0,0
20201B227_2,2
20201B227_3,3
20201B227_4,4
20201B27_0,0
20201B27_1,1
20201B27_2,2
20201B27_3,3
20201B3_0,0
20201B3_1,1
20201B3_2,2
20201B3_3,3
20201B3_4,4
20201B3_5,5
20201B3_6,6
20201B3_7,7
20201B3_8,8
20201B3_9,9
20201B4_0,0
20201B4_1,1
20201B4_2,2
20201B4_3,3
20201B4_4,4
20201B4_5,5
20201B67_0,0
20201B67_1,1
20201B67_2,2
20201B67_3,3
20201C110_0,0
20201C110_1,1
20201C143_0,0
20201C143_1,1
20201C143_2,2
20201C143_3,3
20201C20_0,0
20201C20_1,1
20201C20_2,2
20201C25_0,0
20201C25_1,1
20201C31_0,0
20201C31_1,1
20201C31_2,2
20201C31_3,3
20201C47_0,0
20201C47_1,1
20201C47_2,2
20201C47_3,3
20201C47_4,4
20201C47_5,5
20201C47_6,6
20201C47_7,7
20201C47_8,8
20201C47_9,9
20201C51_0,0
20201C51_1,1
20201C62_0,0
20201C62_1,1
20201C62_2,2
20201C9A_0,0
20201C9A_1,1
20201C9A_2,2
20201CP119_0,0
20201CP119_1,1
20201CP119_2,2
20201CP119_3,3
20201CP11_0,0
20201CP12_0,0
20201CP12_1,1
20201CP22_0,0
20201CP22_1,1
20201CP22_2,2
20201CP2_0,0
20201CP2_1,1
20201CP2_2,2
20201CP3_0,0
20201CP3_1,1
20201CP3_2,2
20201CP7_0,0
20201CP7_2,2
20201CP7_3,3
20201CP7_4,4
20201CP9_0,0
20201CP9_1,1
20201CP9_2,2
20201EX120_0,0
20201EX14_0,0
20201EX14_1,1
20201EX14_2,2
20201EX21_0,0
20201EX21_1,1
20201EX21_2,2
20201EX21_3,3
20201EX25_0,0
20201EX25_1,1
20201EX26_0,0
20201EX26_1,1
20201EX26_2,2
20201EX26_3,3
20201EX26_4,4
20201EX26_5,5
20201EX26_6,6
20201EX29_0,0
20201EX29_1,1
20201EX29_2,2
20201EX3_0,0
20201EX62A_0,0
20201EX62A_1,1
20201EX62A_2,2
20201EX62A_3,3
20201EX64_0,0
20201EX64_1,1
20201EX76_0,0
20201EX76_1,1
20201EX76_2,2
20201EX76_3,3
20201EX76_4,4
20201EX78_0,0
20201EX78_1,1
20201EX78_2,2
20201EX78_3,3
20201EX78_4,4
20201MP20_0,0
20201MP20_1,1
20201MP20_2,2
20201MP25_0,0
20201MP25_1,1
20201MP25_2,2
20201MP29_0,0
20201MP29_1,1
20201MP29_2,2
20201MP29_3,3
20201MP29_4,4
20201MP34_0,0
20201MP34_1,1
20201MP34_2,2
20201MP34_3,3
20201MP41_0,0
20201MP41_1,1
20201MP41_2,2
20201MP41_3,3
20201MP41_4,4
20201MP42_0,0
20201MP42_1,1
20201MP42_2,2
20201MP42_3,3
20201MP42_4,4
20201MP48_0,0
20201MP48_1,1
20201MP48_2,2
20201MP48_3,3
20201MP48_4,4
20201MP48_5,5
20201MP50_0,0
20201MP50_1,1
20201MP50_2,2
20201MP52_0,0
20201MP52_1,1
20201MP52_2,2
20201MP57_0,0
20201MP57_2,2
20201MP58_0,0
20201MP58_1,1
20201MP58_2,2
20201MP58_3,3
20201MP58_4,4
20201MP58_5,5
20201MP58_6,6
20201MP58_7,7
20201MP58_8,8
20201MP58_9,9
20201MP61_0,0
20201MP61_1,1
20201MP61_2,2
20201MP61_3,3
20201MP65_0,0
20201MP65_1,1
20201MP65_2,2
20201MP65_3,3
20201MP66_0,0
20201MP66_1,1
20201MP66_2,2
20201MP67_0,0
20201MP67_1,1
20201MP67_2,2
20201MP67_4,4
20201MP67_5,5
20201MP68_0,0
20201MP68_1,1
20201MP68_2,2
20201MP68_3,3
20201MP68_4,4
20201MP68_5,5
20201MP68_6,6
20201MP68_7,7
20201MP68_8,8
20201MP68_9,9
20201MP69_0,0
20201MP69_1,1
20201MP69_2,2
20201MP69_3,3
20201MP69_4,4
20201MP69_5,5
20201MP69_6,6
20201MP6_0,0
20201MP6_1,1
20201MP6_2,2
20201MP71_0,0
20201MP71_1,1
20201MP71_2,2
20201MP71_3,3
20201MP71_4,4
20201MP73_0,0
20201MP73_1,1
20201MP73_2,2
20201MP73_4,4
20201MP75_0,0
20201MP75_1,1
20201MP75_2,2
20201MP75_3,3
20201MP75_4,4
20201MP76_0,0
20201MP77_0,0
20201MP77_1,1
20201MP77_2,2
20201MP77_3,3
20201MP77_4,4
20201MP80_0,0
20201MP80_1,1
20201MP80_3,3
20201MP96_0,0
20201MP96_1,1
20201MP96_2,2
20201MP96_3,3
20201MP96_4,4
20201MP98_0,0
20201MP98_1,1
20201MP98_2,2
20201MP98_3,3
20201O105_0,0
20201O105_1,1
20201O105_2,2
20201O107_0,0
20201O107_1,1
20201O107_2,2
20201O109_0,0
20201O109_2,2
20201O109_4,4
20201O115_0,0
20201O115_1,1
20201O115_2,2
20201O115_3,3
20201O115_4,4
20201O115_5,5
20201O115_6,6
20201O21_0,0
20201O21_1,1
20201O21_2,2
20201O21_3,3
20201O27A_0,0
20201O27A_1,1
20201O27A_2,2
20201O27_0,0
20201O27_1,1
20201O27_2,2
20201O28_0,0
20201O28_1,1
20201O28_2,2
20201O28_3,3
20201O32_0,0
20201O32_1,1
20201O32_2,2
20201O32_3,3
20201O36_0,0
20201O36_1,1
20201O36_2,2
20201O36_3,3
20201O36_5,5
20201O36_6,6
20201O36_8,8
20201O36_9,9
20201O38A_0,0
20201O38A_1,1
20201O38A_2,2
20201O38A_3,3
20201O3_0,0
20201O3_1,1
20201O3_2,2
20201O50_0,0
20201O50_1,1
20201O50_2,2
20201O50_3,3
20201O52_0,0
20201O52_1,1
20201O52_2,2
20201O52_3,3
20201O52_4,4
20201O53_0,0
20201O53_1,1
20201O53_2,2
20201O56_0,0
20201O56_1,1
20201O56_2,2
20201O58_0,0
20201O58_2,2
20201O66_0,0
20201O66_1,1
20201O66_2,2
20201O66_3,3
20201O66_4,4
20201O6_0,0
20201O6_1,1
20201O6_2,2
20201O6_3,3
20201O70_0,0
20201O70_1,1
20201O70_2,2
20201O70_3,3
20201O70_4,4
20201O70_5,5
20201O75_0,0
20201O75_1,1
20201O75_2,2
20201O81_0,0
20201O81_1,1
20201O82_0,0
20201O82_1,1
20201O8_0,0
20201O8_2,2
20201O8_3,3
20201O93_0,0
20201O93_1,1
20201O93_2,2
20201O93_3,3
20201O95_0,0
20201O95_1,1
20201O95_3,3
20201P14_0,0
20201P14_1,1
20201P14_2,2
20201P17_0,0
20201P17_1,1
20201P17_2,2
20201P17_3,3
20201P17_4,4
20201P17_5,5
20201P2_0,0
20201P2_1,1
20201P2_2,2
20201P7_0,0
20201P7_1,1
20201P7_2,2
20201SW105_0,0
20201SW105_1,1
20201SW105_2,2
20201SW105_3,3
20201SW105_4,4
20201SW116_0,0
20201SW116_1,1
20201SW119_0,0
20201SW119_1,1
20201SW119_2,2
20201SW128_0,0
20201SW131_0,0
20201SW131_1,1
20201SW131_2,2
20201SW1_0,0
20201SW1_1,1
20201SW1_2,2
20201SW28_0,0
20201SW28_1,1
20201SW28_2,2
20201SW28_3,3
20201SW28_4,4
20201SW28_5,5
20201SW28_6,6
20201SW2_0,0
20201SW2_1,1
20201SW33_0,0
20201SW33_1,1
20201SW35_0,0
20201SW35_1,1
20201SW46_0,0
20201SW46_1,1
20201SW46_2,2
20201SW46_3,3
20201SW46_4,4
20201SW5_0,0
20201SW5_1,1
20201SW5_2,2
20201SW5_3,3
20201SW5_4,4
20201SW70_0,0
20201SW70_1,1
20201SW70_2,2
20201SW70_3,3
20201SW70_4,4
20201SW73_0,0
20201SW73_1,1
20201SW73_2,2
20201SW73_3,3
20201SW76_0,0
20201SW76_1,1
20201SW76_2,2
20201SW76_4,4
20201SW82_0,0
20201SW82_1,1
20201SW82_2,2
20201SW82_3,3
20201W100_0,0
20201W100_1,1
20201W100_2,2
20201W100_3,3
20201W103A_0,0
20201W103A_1,1
20201W103A_2,2
20201W103_0,0
20201W103_1,1
20201W105_0,0
20201W105_1,1
20201W105_2,2
20201W12_0,0
20201W12_1,1
20201W12_2,2
20201W12_3,3
20201W12_5,5
20201W12_6,6
20201W12_8,8
20201W12_9,9
20201W18_0,0
20201W18_1,1
20201W18_2,2
20201W18_3,3
20201W21_0,0
20201W21_1,1
20201W21_2,2
20201W29_0,0
20201W29_1,1
20201W29_2,2
20201W29_3,3
20201W29_4,4
20201W37_0,0
20201W37_1,1
20201W37_2,2
20201W37_3,3
20201W37_4,4
20201W50_0,0
20201W50_1,1
20201W50_2,2
20201W51_0,0
20201W51_1,1
20201W51_2,2
20201W51_3,3
20201W56_0,0
20201W56_1,1
20201W56_2,2
20201W56_4,4
20201W5_0,0
20201W5_1,1
20201W5_2,2
20201W5_3,3
20201W5_4,4
20201W5_5,5
20201W5_6,6
20201W5_7,7
20201W62_0,0
20201W62_1,1
20201W62_2,2
20201W62_3,3
20201W62_4,4
20201W62_5,5
20201W64_0,0
20201W64_1,1
20201W64_2,2
20201W68_0,0
20201W68_1,1
20201W68_2,2
20201W68_3,3
20201W68_4,4
20201W71_0,0
20201W71_1,1
20201W71_2,2
20201W71_3,3
20201W71_4,4
20201W71_5,5
20201W71_6,6
20201W74_0,0
20201W74_1,1
20201W74_2,2
20201W75_0,0
20201W75_1,1
20201W75_2,2
20201W77_0,0
20201W77_1,1
20201W77_2,2
20201W77_3,3
20201W79_0,0
20201W79_1,1
20201W79_2,2
20201W79_3,3
20201W87_0,0
20201W87_1,1
20201W87_2,2
20201W92_0,0
20201W92_1,1
20201W92_2,2
20201W95_0,0
20201W95_1,1
20201W95_2,2
20201W99A_0,0
20201W99A_1,1
20211B108_0,0
20211B108_1,1
20211B108_2,2
20211B108_3,3
20211B108_4,4
20211B108_5,5
20211B108_6,6
20211B108_7,7
20211B108_8,8
20211B108_9,9
20211B119_0,0
20211B119_1,1
20211B119_2,2
20211B14_0,0
20211B14_1,1
20211B14_2,2
20211B163_0,0
20211B163_1,1
20211B163_2,2
20211B163_3,3
20211B174_0,0
20211B174_1,1
20211B18_0,0
20211B18_1,1
